epoch,accuracy,loss,val_accuracy,val_loss
0,0.30495238,1.919472998361739,0.208,2.2463535014561242
1,0.36261904,1.7476979778683375,0.28714284,1.9014312162399292
2,0.37757143,1.6964181165997945,0.34928572,1.7677515543528965
3,0.38822222,1.6655269234218295,0.337,1.8114739924839565
4,0.3953651,1.6447627121607462,0.37014285,1.6887111554827008
5,0.400873,1.6283213912570287,0.357,1.7214091855457851
6,0.40422222,1.6169021480499752,0.3872857,1.6643847889219012
7,0.4085873,1.60695548084804,0.3807143,1.6698027132579258
8,0.4105397,1.5981504309972128,0.36914286,1.6657024017061506
9,0.41257143,1.5906134377736894,0.37557143,1.6950973509379796
