epoch,accuracy,loss,val_accuracy,val_loss
0,0.30049208,1.9262915294738043,0.321,1.8517708712986538
1,0.36090475,1.7529716226335557,0.34114286,1.8909614225115094
2,0.37673014,1.7010020017926655,0.38385713,1.747306405203683
3,0.38609523,1.66774876839774,0.37285715,1.683994802883693
4,0.39257142,1.6473304818925403,0.38271427,1.67082358278547
5,0.39907935,1.6309008528088766,0.38257143,1.6760244798660278
6,0.40514284,1.618889692760649,0.39614287,1.652080810546875
7,0.4091111,1.607602513676598,0.36214286,1.7619181304659162
8,0.41296825,1.60138898321182,0.37914285,1.657088701248169
9,0.4117619,1.5923220795676822,0.38914287,1.6516236874716623
