epoch,accuracy,loss,val_accuracy,val_loss
0,0.30333334,1.9244217820394607,0.33642858,1.8540696033750261
1,0.35907936,1.7538274712486872,0.323,1.801781091281346
2,0.37760317,1.6996653282377454,0.36714286,1.6917495005471366
3,0.38704762,1.6686220247934735,0.38457143,1.6856863685335433
4,0.39415872,1.6479110432125272,0.37685713,1.6978947185788835
5,0.39846033,1.632059941973005,0.40085715,1.6415530527659825
6,0.4038254,1.6214395844595773,0.37014285,1.6678978553499495
7,0.4060635,1.6106596973964147,0.37714285,1.6991627676827568
8,0.40984127,1.6024880490378728,0.39042857,1.6576805832726615
9,0.4129365,1.593890405034262,0.38014287,1.663662507738386
