epoch,accuracy,loss,val_accuracy,val_loss
0,0.30423808,1.9177607214034549,0.30757144,1.8827025288173131
1,0.3627143,1.751930320694333,0.36028573,1.7548420035498482
2,0.37649205,1.6981226019329494,0.32114285,1.8888085381644113
3,0.38693652,1.6695799557973467,0.35171428,1.7615175797598703
4,0.39503175,1.650052356704833,0.3712857,1.657245656149728
5,0.3997143,1.6338918400567675,0.37157142,1.7109800113950457
6,0.4043651,1.6209720886624048,0.39128572,1.6297445269993374
7,0.40720636,1.6126164170068409,0.39457142,1.6497694638116018
8,0.40896824,1.6031853403969416,0.386,1.703029076712472
9,0.41342857,1.595396032863193,0.38871428,1.6417245009286063
