epoch,accuracy,loss,val_accuracy,val_loss
0,0.29960316,1.9235305359098647,0.30028573,1.9319719914027622
1,0.3580635,1.7511388386469038,0.35714287,1.7353979118892124
2,0.37850794,1.6975910226731072,0.34642857,1.7474803333282471
3,0.38755557,1.6663528502328055,0.29842857,1.9446970274788993
4,0.39392063,1.6465979662698413,0.3397143,1.769326539857047
5,0.3990476,1.6308247417873807,0.38614285,1.705244118145534
6,0.40338096,1.6195940509523665,0.377,1.6905778282710484
7,0.40839684,1.6081231443011572,0.3467143,1.7627083978652953
8,0.4093492,1.600231377147493,0.374,1.7209493756975447
9,0.41180953,1.593884708116925,0.40414286,1.6138220480510166
