epoch,accuracy,loss,val_accuracy,val_loss
0,0.30084127,1.9224466604051136,0.31114286,1.8696628435679845
1,0.35936508,1.7539152049866933,0.32985714,1.8486334690366473
2,0.37666667,1.7007362808500017,0.36285713,1.7510804681777954
3,0.3877619,1.6682178690622724,0.34985715,1.7360942322867257
4,0.3941746,1.6479689799263364,0.37542856,1.703425535610744
5,0.39901587,1.631198662878975,0.35671428,1.697789245877947
6,0.40201586,1.6199555709929694,0.36885715,1.7026289630617415
7,0.4072222,1.608165040561131,0.38614285,1.6701738981519427
8,0.41019046,1.5998289860770816,0.39,1.6458034772872925
9,0.41163492,1.5936846062947834,0.36128572,1.716316731452942
