epoch,accuracy,loss,val_accuracy,val_loss
0,0.2997619,1.9286030745733351,0.355,1.8176342007773263
1,0.3602381,1.7564340212534344,0.3367143,1.8457020680563792
2,0.37707937,1.7010480393152387,0.29685715,1.8831648077283587
3,0.3855238,1.671289525304522,0.35428572,1.7530284625462123
4,0.3931746,1.6469101873730856,0.35714287,1.8275828839710782
5,0.39857143,1.6330417117769755,0.38114285,1.672563425881522
6,0.4016984,1.6193192892528716,0.36114284,1.759316427367074
7,0.40444446,1.6113528879710606,0.3605714,1.7653806215013776
8,0.40803173,1.6020782584992665,0.352,1.748176491192409
9,0.40957144,1.5956885919116792,0.40528572,1.6371116850716727
