epoch,accuracy,loss,val_accuracy,val_loss
0,0.83561903,0.4727465530766381,0.90514284,0.273854770387922
1,0.9158889,0.22778706167614649,0.87885714,0.3733460272720882
2,0.93587303,0.17772822855105475,0.93314284,0.1986136624131884
3,0.94898415,0.14172475394275452,0.92471427,0.20344892917360577
4,0.9585556,0.11609855585628086,0.9344286,0.20548305441652026
5,0.9656508,0.09528668115630982,0.92485714,0.21350626955713545
6,0.9711746,0.07989843639258354,0.932,0.2387138249533517
7,0.97631747,0.0691752240752417,0.92814285,0.31837560316494534
8,0.9789524,0.06194288396551496,0.8981429,0.47685878317696706
9,0.98068255,0.05661993569679676,0.92485714,0.43741152552195955
10,0.9820794,0.05332504569679972,0.93471426,0.39563720996039253
11,0.98261905,0.052292749019605775,0.93285716,0.4960899293763297
12,0.98384124,0.04994333062592953,0.932,0.42682120275497437
13,0.98430157,0.05092499574795661,0.93285716,0.5916620849200658
14,0.9842381,0.0489932376707771,0.9337143,0.31093610988344467
15,0.98468256,0.054608769092354036,0.9351429,0.37999141822542465
16,0.98463494,0.04911193993817719,0.929,0.5735657155854361
17,0.98557144,0.04788793187756978,0.93057144,0.41264429678235737
18,0.98520637,0.04991377463475579,0.919,0.3775267381668091
19,0.98474604,0.05177306220769173,0.917,0.7528881224223546
20,0.98571426,0.04695985008853059,0.9301429,0.4778987701960972
21,0.9855397,0.05725482679004707,0.93128574,0.8371903219223022
22,0.9861905,0.051966458064696144,0.9332857,0.5370955730165754
23,0.9858254,0.04895059827112016,0.92414284,1.5523191506522043
24,0.98507935,0.056402227399486395,0.91585714,0.5655384776932852
25,0.986,0.049583120211249304,0.93785715,0.7316278114318847
26,0.9854444,0.05290639666240988,0.9334286,0.572415353502546
27,0.9857619,0.053009218346756246,0.933,0.6092393170765468
28,0.985746,0.055397729619805304,0.9317143,0.4676867140701839
29,0.9856508,0.0549092675364458,0.92985713,0.5218639789990016
30,0.98504764,0.05766423537799098,0.92471427,0.46556087344033376
31,0.9855555,0.05283185033337583,0.9277143,0.4807115232603891
32,0.9857302,0.05668986623192442,0.92642856,0.414418217250279
33,0.9857778,0.08561426669854434,0.9302857,0.4978972760609218
34,0.9851111,0.06197045012890862,0.9332857,0.792747955594744
35,0.9846508,0.05871557242554864,0.928,0.42431144680295674
36,0.9835238,0.07139616823798076,0.843,0.4734897518839155
37,0.98380953,0.06916131287980219,0.929,0.7998167313167027
38,0.9846984,0.06297692222509625,0.93,1.436393811770848
39,0.9836825,0.15585901001488997,0.93628573,0.8917893758501325
40,0.98504764,0.060160191038889546,0.919,0.7611665928704398
41,0.98419046,0.061019496512276374,0.92814285,1.827293052809579
42,0.98419046,0.06665405008319344,0.92885715,1.4308463935852052
43,0.983381,0.0676082869985747,0.93142855,0.5971503751618522
44,0.9845079,0.06114858965897269,0.92314285,0.7142275391306196
45,0.9840476,0.06693528880404923,0.92728573,0.768607369354793
46,0.98320633,0.06900060965440102,0.9261429,0.7660423830577305
47,0.98322225,0.07248430706827073,0.9265714,0.5800932347433908
48,0.98388886,0.06631284291102854,0.92642856,1.4494441653660366
49,0.9846508,0.06665449424440435,0.92985713,0.7706620864868164
