epoch,accuracy,loss,val_accuracy,val_loss
0,0.8142857,0.5134515772603807,0.88114285,0.32091688333238877
1,0.90869844,0.2505644833615848,0.89585716,0.29364304961477006
2,0.92236507,0.2102927397205716,0.9021429,0.2982225773675101
3,0.93231744,0.18538822955176945,0.9212857,0.22503611280236926
4,0.9373016,0.17135820141103533,0.93128574,0.2145176251786096
5,0.9427619,0.15931792662635683,0.92742854,0.23467877178532737
6,0.947,0.14882948223749798,0.92785716,0.2841080523218427
7,0.9488889,0.14384913922396916,0.93357146,0.2915187132358551
8,0.950873,0.13841925362320173,0.9351429,0.23940437276022775
9,0.95203173,0.14047143489595443,0.92557144,0.23545525351592472
10,0.9529524,0.13988852091251858,0.9344286,0.256378635934421
11,0.95439684,0.13595260518032407,0.93357146,0.2143252765110561
12,0.9538571,0.13521362343572435,0.9332857,0.25856567641666955
13,0.9540794,0.13422341912038743,0.9267143,0.30016443259375436
14,0.9540794,0.1353493156716937,0.9261429,0.34831030562945775
15,0.95368254,0.13645637569209887,0.93614286,0.30878215735299247
16,0.9543492,0.13723563157092958,0.934,0.25405693449292865
17,0.9531746,0.14032623737198965,0.90757143,0.313243018252509
18,0.95304763,0.14579547435518295,0.922,0.2520479864903859
19,0.9519841,0.14632661747648604,0.9332857,0.21148135379382543
20,0.9519365,0.15424008743725126,0.93142855,0.312490543450628
21,0.9506508,0.15490705985682351,0.93057144,0.22475327501978193
22,0.9512381,0.890185345005318,0.9282857,0.26743353373663764
23,0.9496984,0.16575258310635885,0.922,0.33408263891083856
24,0.94957143,0.15343575325016937,0.93457144,0.28435330278532844
25,0.9487778,0.16506700864670767,0.9294286,0.25002420691081456
26,0.94820637,0.15918332002371077,0.9252857,0.31557301453181674
27,0.9466032,0.16366578020841357,0.9332857,0.25836615605013713
28,0.94733334,0.17465626209501237,0.89757144,0.29807949573653086
29,0.9457936,0.1722801464812623,0.9341428,0.36003184505871366
30,0.94442856,0.17263877516417275,0.92642856,0.23642152900355204
31,0.946127,0.1756927843093872,0.92728573,0.2523294495855059
32,0.94531745,0.180887208923934,0.9352857,0.2831340869154249
33,0.9461587,0.1735221499942598,0.92242855,0.27454180451801846
34,0.94366664,0.18794778493283287,0.93314284,0.3364343157155173
35,0.9435397,1.571456440350366,0.932,0.20465794825553893
36,0.94398415,0.17098211580609518,0.925,0.3397608013493674
37,0.9442857,0.2101332501456851,0.9308571,0.2585904340062823
38,0.94185716,0.2190901636413875,0.92914283,0.44923734174455915
39,0.9426032,0.22590046303258055,0.93285716,0.21296766764777048
40,0.9424603,0.17814943991956256,0.92742854,0.22328711680003574
41,0.9414603,0.18969477353966424,0.93114287,0.2686894565309797
42,0.9399524,0.19201881196006895,0.9341428,0.23418488589354924
43,0.93909526,0.2034669891690451,0.9234286,0.25230435507638116
44,0.9377619,0.23082406238336411,0.9232857,0.2508809548105512
45,0.9396349,0.2008631453173501,0.9212857,0.23666990293775286
46,0.93819046,0.19423892512397162,0.906,0.2701205154146467
47,0.9398413,0.21110691793381223,0.91485715,0.2626513318164008
48,0.93707937,0.2193324321224576,0.92242855,0.23485688774926322
49,0.93696827,0.20425893756321498,0.9302857,0.24221677008696965
